Biodata_ID,KodePos,SuratKeteranganLulus,AsalSMA,NomorHP,Kecamatan_ID,NamaPeserta,NIK,KK,Alamat,TempatLahir,TanggalLahir,Pasfoto
1,1614,http://dummyimage.com/185x100.png/ff4444/ffffff,SMA Cahaya Gemilang,2581321153,1,Anne-corinneHeading,247021022737,http://dummyimage.com/216x100.png/cc0000/ffffff,820 Claremont Park,Paobulan,5/8/2001,http://dummyimage.com/225x100.png/cc0000/ffffff
2,1063,http://dummyimage.com/181x100.png/cc0000/ffffff,SMA Gita Persada,4175645710,2,GillesAicheson,244227296049,http://dummyimage.com/156x100.png/cc0000/ffffff,4 Dawn Trail,Rongmei,4/28/2001,http://dummyimage.com/115x100.png/5fa2dd/ffffff
3,1426,http://dummyimage.com/232x100.png/ff4444/ffffff,SMA Inspirasi Mandiri,8224869935,3,KoriGethins,255877547274,http://dummyimage.com/235x100.png/cc0000/ffffff,1092 Anzinger Drive,Doljo,2/16/2001,http://dummyimage.com/229x100.png/cc0000/ffffff
4,1521,http://dummyimage.com/239x100.png/ff4444/ffffff,SMA Gita Persada,1756882380,4,ElvaDaens,242875970136,http://dummyimage.com/135x100.png/ff4444/ffffff,96 Elka Place,Kanália,5/30/2000,http://dummyimage.com/139x100.png/5fa2dd/ffffff
5,1083,http://dummyimage.com/136x100.png/ff4444/ffffff,SMA Budi Luhur,1497373522,5,GiorgiPues,262738536016,http://dummyimage.com/214x100.png/dddddd/000000,78021 Crest Line Plaza,Qingyuan,7/2/2000,http://dummyimage.com/238x100.png/5fa2dd/ffffff
6,1152,http://dummyimage.com/245x100.png/cc0000/ffffff,SMA Mutiara Abadi,2468029947,6,CyntheaBlaby,253997477391,http://dummyimage.com/163x100.png/ff4444/ffffff,20990 Sloan Center,Pļaviņas,3/11/2001,http://dummyimage.com/218x100.png/ff4444/ffffff
7,1126,http://dummyimage.com/224x100.png/ff4444/ffffff,SMA Megah Prima,1082004365,7,MollBergen,271909007274,http://dummyimage.com/198x100.png/5fa2dd/ffffff,52078 Esker Drive,Outeiro Seco,10/24/2000,http://dummyimage.com/226x100.png/ff4444/ffffff
8,1391,http://dummyimage.com/207x100.png/5fa2dd/ffffff,SMA Nusantara Cendekia,6897327341,8,EthePenddreth,262984700835,http://dummyimage.com/164x100.png/ff4444/ffffff,953 Clemons Crossing,Villa Nueva,8/18/2000,http://dummyimage.com/129x100.png/5fa2dd/ffffff
9,1633,http://dummyimage.com/220x100.png/ff4444/ffffff,SMA Nusantara Cendekia,8708467246,9,AggieBackwell,131727968418,http://dummyimage.com/215x100.png/dddddd/000000,6 Reinke Pass,Nytva,10/22/2000,http://dummyimage.com/104x100.png/cc0000/ffffff
10,1576,http://dummyimage.com/105x100.png/5fa2dd/ffffff,SMA Karya Gemilang,7035135425,10,JaymeBaxendale,260297281122,http://dummyimage.com/176x100.png/cc0000/ffffff,555 Canary Point,Mīrpur Sakro,5/17/2001,http://dummyimage.com/123x100.png/dddddd/000000
11,1203,http://dummyimage.com/124x100.png/dddddd/000000,SMA Harapan Bangsa,1048839521,11,ArlinButtner,345493838387,http://dummyimage.com/168x100.png/dddddd/000000,9558 Milwaukee Street,Wangcheng,11/20/2000,http://dummyimage.com/176x100.png/dddddd/000000
12,1067,http://dummyimage.com/126x100.png/dddddd/000000,SMA Satria Muda,8628221257,12,JaquenettaWinterson,190875950406,http://dummyimage.com/160x100.png/ff4444/ffffff,050 Hauk Drive,Zaria,1/5/2001,http://dummyimage.com/146x100.png/dddddd/000000
13,1039,http://dummyimage.com/201x100.png/5fa2dd/ffffff,SMA Inspirasi Mandiri,3155776485,13,PattiOager,289289407977,http://dummyimage.com/136x100.png/ff4444/ffffff,991 Macpherson Terrace,Buđanovci,2/28/2001,http://dummyimage.com/120x100.png/cc0000/ffffff
14,1266,http://dummyimage.com/141x100.png/5fa2dd/ffffff,SMA Mahkota Surya,1008717525,14,SelinaWorgan,282451168893,http://dummyimage.com/131x100.png/dddddd/000000,69 Moose Pass,Ottawa,11/5/2001,http://dummyimage.com/243x100.png/cc0000/ffffff
15,1034,http://dummyimage.com/126x100.png/ff4444/ffffff,SMA Inspirasi Mandiri,2494955760,15,SkyeEdelmann,216521187434,http://dummyimage.com/118x100.png/ff4444/ffffff,876 Oxford Way,Trelleborg,10/12/2001,http://dummyimage.com/234x100.png/5fa2dd/ffffff
16,1612,http://dummyimage.com/151x100.png/dddddd/000000,SMA Seruni Makmur,1008963245,16,FletcherFlannery,216660800203,http://dummyimage.com/204x100.png/5fa2dd/ffffff,863 Vahlen Parkway,Dingchang,11/27/2000,http://dummyimage.com/225x100.png/cc0000/ffffff
17,1674,http://dummyimage.com/149x100.png/dddddd/000000,SMA Mahkota Surya,6074081639,17,NadeanVasilyonok,184156399360,http://dummyimage.com/185x100.png/5fa2dd/ffffff,01 Golf Alley,Fengshan,9/12/2001,http://dummyimage.com/203x100.png/ff4444/ffffff
18,1060,http://dummyimage.com/192x100.png/ff4444/ffffff,SMA Abadi Sentosa,1645772265,18,AmberBrammall,312328931119,http://dummyimage.com/159x100.png/ff4444/ffffff,65 Coolidge Circle,Rzeszów,9/20/2000,http://dummyimage.com/136x100.png/ff4444/ffffff
19,1166,http://dummyimage.com/164x100.png/dddddd/000000,SMA Trijaya Mandiri,6818990374,19,BrittaneyDaintry,220579882933,http://dummyimage.com/119x100.png/cc0000/ffffff,36562 Trailsway Point,Kalmar,6/30/2000,http://dummyimage.com/240x100.png/dddddd/000000
20,1047,http://dummyimage.com/118x100.png/cc0000/ffffff,SMA Gita Persada,2387965125,20,ClaudelleSawter,254484960277,http://dummyimage.com/176x100.png/5fa2dd/ffffff,2 4th Street,Bukbatang,4/1/2001,http://dummyimage.com/172x100.png/cc0000/ffffff
21,1124,http://dummyimage.com/127x100.png/cc0000/ffffff,SMA Budi Luhur,6967110457,21,BatBarlow,259354910465,http://dummyimage.com/139x100.png/5fa2dd/ffffff,98 Reindahl Street,Mertzig,2/20/2001,http://dummyimage.com/152x100.png/cc0000/ffffff
22,1614,http://dummyimage.com/137x100.png/cc0000/ffffff,SMA Seruni Makmur,1666524548,22,JaynellDeedes,250362355017,http://dummyimage.com/130x100.png/5fa2dd/ffffff,71 Oneill Trail,Borås,1/12/2001,http://dummyimage.com/245x100.png/ff4444/ffffff
23,1123,http://dummyimage.com/170x100.png/dddddd/000000,SMA Purnama Jaya,2963712338,23,GarrottGavrieli,176142229384,http://dummyimage.com/185x100.png/5fa2dd/ffffff,354 Prairieview Lane,Sutton,9/12/2000,http://dummyimage.com/195x100.png/cc0000/ffffff
