Peserta_ID,Jalur_ID,Rapor_ID,TesMandiri_ID,PilihanSatu_ID,PilihanDua_ID,NamaPeserta,NIK,Pasfoto,KK,Alamat,TanggalLahir,TempatLahir,Ibu_ID,Ayah_ID,Akun_ID,Kecamatan_ID
1,1,1,1,3,9,Anne-corinne Heading,247021022737,http://dummyimage.com/225x100.png/cc0000/ffffff,http://dummyimage.com/216x100.png/cc0000/ffffff,820 Claremont Park,5/8/2001,Paobulan,1,1,1,1
2,2,2,2,1,8,Gilles Aicheson,244227296049,http://dummyimage.com/115x100.png/5fa2dd/ffffff,http://dummyimage.com/156x100.png/cc0000/ffffff,4 Dawn Trail,4/28/2001,Rongmei,2,2,2,8
3,3,3,3,2,5,Kori Gethins,255877547274,http://dummyimage.com/229x100.png/cc0000/ffffff,http://dummyimage.com/235x100.png/cc0000/ffffff,1092 Anzinger Drive,2/16/2001,Doljo,3,3,3,5
4,4,4,4,1,2,Elva Daens,242875970136,http://dummyimage.com/139x100.png/5fa2dd/ffffff,http://dummyimage.com/135x100.png/ff4444/ffffff,96 Elka Place,5/30/2000,Kanália,4,4,4,5
5,5,5,5,4,10,Giorgi Pues,262738536016,http://dummyimage.com/238x100.png/5fa2dd/ffffff,http://dummyimage.com/214x100.png/dddddd/000000,78021 Crest Line Plaza,7/2/2000,Qingyuan,5,5,5,6
6,6,6,6,1,12,Cynthea Blaby,253997477391,http://dummyimage.com/218x100.png/ff4444/ffffff,http://dummyimage.com/163x100.png/ff4444/ffffff,20990 Sloan Center,3/11/2001,Pļaviņas,6,6,6,3
7,7,7,7,2,9,Moll Bergen,271909007274,http://dummyimage.com/226x100.png/ff4444/ffffff,http://dummyimage.com/198x100.png/5fa2dd/ffffff,52078 Esker Drive,10/24/2000,Outeiro Seco,7,7,7,7
8,8,8,8,2,9,Ethe Penddreth,262984700835,http://dummyimage.com/129x100.png/5fa2dd/ffffff,http://dummyimage.com/164x100.png/ff4444/ffffff,953 Clemons Crossing,8/18/2000,Villa Nueva,8,8,8,10
9,9,9,9,4,23,Aggie Backwell,131727968418,http://dummyimage.com/104x100.png/cc0000/ffffff,http://dummyimage.com/215x100.png/dddddd/000000,6 Reinke Pass,10/22/2000,Nytva,9,9,9,4
10,10,10,10,2,4,Jayme Baxendale,260297281122,http://dummyimage.com/123x100.png/dddddd/000000,http://dummyimage.com/176x100.png/cc0000/ffffff,555 Canary Point,5/17/2001,Mīrpur Sakro,10,10,10,10
11,11,11,11,4,14,Arlin Buttner,345493838387,http://dummyimage.com/176x100.png/dddddd/000000,http://dummyimage.com/168x100.png/dddddd/000000,9558 Milwaukee Street,11/20/2000,Wangcheng,11,11,11,9
12,12,12,12,3,13,Jaquenetta Winterson,190875950406,http://dummyimage.com/146x100.png/dddddd/000000,http://dummyimage.com/160x100.png/ff4444/ffffff,050 Hauk Drive,1/5/2001,Zaria,12,12,12,5
13,13,13,13,5,2,Patti Oager,289289407977,http://dummyimage.com/120x100.png/cc0000/ffffff,http://dummyimage.com/136x100.png/ff4444/ffffff,991 Macpherson Terrace,2/28/2001,Buđanovci,13,13,13,5
14,14,14,14,5,18,Selina Worgan,282451168893,http://dummyimage.com/243x100.png/cc0000/ffffff,http://dummyimage.com/131x100.png/dddddd/000000,69 Moose Pass,11/5/2001,Ottawa,14,14,14,6
15,15,15,15,1,20,Skye Edelmann,216521187434,http://dummyimage.com/234x100.png/5fa2dd/ffffff,http://dummyimage.com/118x100.png/ff4444/ffffff,876 Oxford Way,10/12/2001,Trelleborg,15,15,15,4
16,16,16,16,2,1,Fletcher Flannery,216660800203,http://dummyimage.com/225x100.png/cc0000/ffffff,http://dummyimage.com/204x100.png/5fa2dd/ffffff,863 Vahlen Parkway,11/27/2000,Dingchang,16,16,16,10
